id;club_name;creation_date;logo;logo_content_type
1;Tuna;2022-01-25T20:35:43;../fake-data/blob/hipster.png;image/png
2;Computer;2022-01-26T04:02:12;../fake-data/blob/hipster.png;image/png
3;Pizza superstructure Baby;2022-01-25T14:21:41;../fake-data/blob/hipster.png;image/png
4;Tasty;2022-01-26T05:53:00;../fake-data/blob/hipster.png;image/png
5;Generic global Steel;2022-01-26T02:54:36;../fake-data/blob/hipster.png;image/png
6;Niger Auto embrace;2022-01-26T03:55:27;../fake-data/blob/hipster.png;image/png
7;ADP;2022-01-25T23:35:40;../fake-data/blob/hipster.png;image/png
8;payment;2022-01-26T01:33:52;../fake-data/blob/hipster.png;image/png
9;Tuna;2022-01-25T20:55:29;../fake-data/blob/hipster.png;image/png
10;Accounts Timor-Leste;2022-01-26T01:45:50;../fake-data/blob/hipster.png;image/png
