id;title;event_date;event_end;event_place;content;statut;budget;club_id
1;Tuna integrated deposit;2022-01-25T23:36:04;2022-01-26T01:20:28;BEAC payment THX;../fake-data/blob/hipster.txt;VALIDATED;Sao;1
2;Account out-of-the-box Shoes;2022-01-25T23:08:35;2022-01-25T20:51:16;Estonia monetize;../fake-data/blob/hipster.txt;VALIDATED;stable Chicken;2
3;contingency Corporate connecting;2022-01-25T15:54:53;2022-01-26T09:46:31;indexing Accounts Administrator;../fake-data/blob/hipster.txt;VALIDATED;Metal;3
4;quantify discrete Gorgeous;2022-01-25T10:57:20;2022-01-25T11:52:13;success withdrawal withdrawal;../fake-data/blob/hipster.txt;CREATED;sexy;4
5;Metal;2022-01-25T20:15:57;2022-01-25T20:30:59;green Down-sized;../fake-data/blob/hipster.txt;VALIDATED;Account Fresh;5
6;Bike;2022-01-26T00:49:24;2022-01-26T07:41:34;PCI Cuban Fresh;../fake-data/blob/hipster.txt;VALIDATED;Shoal;6
7;modular firmware;2022-01-26T01:23:13;2022-01-25T13:28:23;Buckinghamshire Indiana;../fake-data/blob/hipster.txt;CREATED;Movies;7
8;Berkshire;2022-01-26T06:04:14;2022-01-25T21:09:03;Sleek;../fake-data/blob/hipster.txt;CREATED;Prairie copy;8
9;deposit Steel;2022-01-26T06:25:15;2022-01-25T12:46:24;Georgia;../fake-data/blob/hipster.txt;VALIDATED;Accountability calculating;9
10;Tools transmitting;2022-01-26T09:05:30;2022-01-26T00:33:47;invoice Brazilian Solomon;../fake-data/blob/hipster.txt;VALIDATED;Salad;10
