id;title;meeting_date;meeting_place;content;statut;club_id
1;protocol Maine Account;2022-01-25T12:51:30;target;../fake-data/blob/hipster.txt;CREATED;1
2;Indiana open-source;2022-01-25T15:48:08;Pizza Bedfordshire;../fake-data/blob/hipster.txt;VALIDATED;2
3;Handmade;2022-01-26T05:09:24;Buckinghamshire;../fake-data/blob/hipster.txt;VALIDATED;3
4;Rue override;2022-01-26T02:01:13;Account Bedfordshire maximize;../fake-data/blob/hipster.txt;CREATED;4
5;International Cheese;2022-01-25T11:04:57;blue Object-based Group;../fake-data/blob/hipster.txt;VALIDATED;5
6;Bahrain Isle Infrastructure;2022-01-25T13:37:27;purple;../fake-data/blob/hipster.txt;VALIDATED;6
7;Generic Liaison;2022-01-26T03:55:27;virtual salmon;../fake-data/blob/hipster.txt;CREATED;7
8;Direct;2022-01-26T06:09:22;mobile;../fake-data/blob/hipster.txt;VALIDATED;8
9;Granite architecture quantifying;2022-01-25T23:29:49;Rustic COM;../fake-data/blob/hipster.txt;CREATED;9
10;Taiwan;2022-01-25T16:24:38;help-desk;../fake-data/blob/hipster.txt;CREATED;10
